"Time","condition","n","mean","median","sd","sem","mean_CI_lo","mean_CI_hi"
365.36,"2018-10-30_PC3_WT-TG",38,0.665263157894737,0.615,0.164575405244465,0.0266976561219282,0.611168568279943,0.719357747509531
365.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.628985507246377,0.6,0.101679209042838,0.0122407383217083,0.604559494227645,0.653411520265108
370.36,"2018-10-30_PC3_WT-TG",38,0.590263157894737,0.57,0.111439884220882,0.0180779363889591,0.553633779436308,0.626892536353165
370.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.610434782608696,0.58,0.09862935344315,0.0118735788535515,0.586741424901551,0.63412814031584
375.36,"2018-10-30_PC3_WT-TG",38,0.706842105263158,0.615,0.252673331068567,0.0409890268477867,0.623790447997275,0.789893762529041
375.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.618695652173913,0.59,0.0989044851697878,0.0119067008211737,0.594936200609431,0.642455103738395
380.36,"2018-10-30_PC3_WT-TG",38,0.595789473684211,0.565,0.111540359413505,0.0180942356174948,0.55912706985177,0.632451877516651
380.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.618405797101449,0.6,0.0949399684693345,0.0114294290961169,0.595598726436168,0.641212867766731
385.36,"2018-10-30_PC3_WT-TG",38,0.591315789473684,0.565,0.0960622279350545,0.0155833511326118,0.55974092086005,0.622890658087318
385.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.590434782608696,0.57,0.0922502157276084,0.0111056209177144,0.568273861103159,0.612595704114232
390.36,"2018-10-30_PC3_WT-TG",38,0.636842105263158,0.585,0.165629108016904,0.0268685892831227,0.58240117216547,0.691283038360846
390.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.615072463768116,0.59,0.0928094694142695,0.0111729471498744,0.592777194858034,0.637367732678198
395.36,"2018-10-30_PC3_WT-TG",38,0.726842105263158,0.615,0.235143489984168,0.038145311114879,0.64955236338229,0.804131847144026
